iter	Passed	Remaining
1090	64288	53563
1091	64321	53483
1092	64352	53401
1093	64374	53312
1094	64400	53225
1095	64424	53138
1096	64507	53099
1097	64594	53063
1098	64707	53049
1099	64748	52975
1100	64814	52922
1101	64877	52867
1102	64941	52812
1103	65010	52761
1104	65063	52698
1105	65147	52660
1106	65219	52611
1107	65267	52543
1108	65319	52479
1109	65340	52389
1110	65368	52306
1111	65394	52221
1112	65433	52146
1113	65478	52077
1114	65522	52006
1115	65554	51926
1116	65583	51844
1117	65607	51758
1118	65632	51673
1119	65679	51605
1120	65728	51539
1121	65777	51472
1122	65807	51391
1123	65835	51309
1124	65901	51256
1125	65931	51176
1126	65973	51104
1127	66014	51032
1128	66037	50946
1129	66052	50854
1130	66088	50779
1131	66126	50705
1132	66168	50633
1133	66192	50549
1134	66230	50475
1135	66260	50395
1136	66299	50322
1137	66335	50247
1138	66375	50174
1139	66413	50101
1140	66432	50013
1141	66468	49938
1142	66487	49850
1143	66509	49766
1144	66543	49689
1145	66578	49614
1146	66588	49520
1147	66606	49432
1148	66648	49362
1149	66694	49295
1150	66710	49206
1151	66722	49114
1152	66745	49031
1153	66781	48957
1154	66799	48870
1155	66815	48782
1156	66854	48710
1157	66883	48632
1158	66921	48560
1159	66941	48474
1160	66960	48388
1161	66976	48301
1162	66998	48218
1163	67017	48132
1164	67052	48059
1165	67081	47981
1166	67123	47912
1167	67141	47826
1168	67152	47736
1169	67163	47645
1170	67194	47569
1171	67230	47497
1172	67274	47430
1173	67313	47360
1174	67326	47271
1175	67348	47189
1176	67392	47123
1177	67411	47039
1178	67435	46959
1179	67446	46869
1180	67471	46790
1181	67494	46709
1182	67534	46640
1183	67549	46554
1184	67586	46483
1185	67605	46400
1186	67643	46330
1187	67658	46244
1188	67714	46187
1189	67733	46104
1190	67753	46022
1191	67781	45945
1192	67822	45878
1193	67863	45810
1194	67906	45744
1195	67929	45664
1196	67965	45594
1197	68006	45527
1198	68035	45451
1199	68072	45381
1200	68094	45302
1201	68134	45233
1202	68179	45169
1203	68209	45095
1204	68275	45044
1205	68322	44981
1206	68367	44917
1207	68417	44856
1208	68433	44773
1209	68476	44707
1210	68507	44634
1211	68540	44562
1212	68577	44493
1213	68620	44427
1214	68663	44362
1215	68710	44300
1216	68737	44224
1217	68779	44158
1218	68794	44075
1219	68811	43994
1220	68826	43911
1221	68862	43842
1222	68902	43775
1223	68948	43712
1224	68967	43632
1225	69005	43564
1226	69043	43496
1227	69059	43414
1228	69076	43334
1229	69097	43255
1230	69118	43177
1231	69139	43099
1232	69178	43033
1233	69196	42953
1234	69218	42875
1235	69259	42810
1236	69278	42732
1237	69298	42654
1238	69339	42588
1239	69359	42510
1240	69377	42431
1241	69416	42365
1242	69435	42287
1243	69482	42225
1244	69498	42145
1245	69534	42077
1246	69555	42000
1247	69572	41921
1248	69588	41842
1249	69622	41773
1250	69634	41691
1251	69672	41625
1252	69724	41567
1253	69736	41485
1254	69770	41417
1255	69788	41339
1256	69839	41281
1257	69887	41221
1258	69925	41155
1259	69947	41080
1260	69961	41000
1261	69979	40922
1262	70000	40847
1263	70048	40787
1264	70063	40709
1265	70081	40631
1266	70100	40555
1267	70117	40477
1268	70154	40411
1269	70166	40331
1270	70183	40254
1271	70200	40177
1272	70239	40113
1273	70256	40036
1274	70272	39959
1275	70289	39882
1276	70328	39817
1277	70369	39754
1278	70384	39677
1279	70426	39614
1280	70471	39554
1281	70488	39477
1282	70502	39399
1283	70555	39344
1284	70578	39271
1285	70623	39210
1286	70639	39134
1287	70664	39063
1288	70715	39005
1289	70755	38943
1290	70783	38873
1291	70807	38801
1292	70856	38743
1293	70874	38668
1294	70918	38607
1295	70936	38533
1296	70972	38468
1297	70984	38390
1298	71002	38316
1299	71043	38254
1300	71078	38188
1301	71119	38126
1302	71145	38057
1303	71187	37995
1304	71231	37935
1305	71277	37876
1306	71317	37813
1307	71365	37755
1308	71406	37694
1309	71448	37632
1310	71483	37568
1311	71511	37499
1312	71560	37442
1313	71606	37383
1314	71646	37321
1315	71709	37271
1316	71743	37206
1317	71768	37136
1318	71827	37084
1319	71876	37027
1320	71904	36959
1321	71938	36894
1322	71998	36842
1323	72062	36793
1324	72101	36730
1325	72129	36663
1326	72139	36586
1327	72182	36525
1328	72217	36462
1329	72259	36401
1330	72289	36334
1331	72303	36260
1332	72329	36192
1333	72354	36123
1334	72397	36063
1335	72439	36002
1336	72489	35946
1337	72505	35873
1338	72537	35808
1339	72580	35748
1340	72607	35681
1341	72629	35611
1342	72680	35555
1343	72739	35503
1344	72795	35450
1345	72849	35396
1346	72902	35341
1347	72963	35290
1348	73034	35244
1349	73091	35192
1350	73136	35133
1351	73176	35072
1352	73223	35015
1353	73263	34954
1354	73308	34895
1355	73353	34837
1356	73394	34777
1357	73417	34708
1358	73439	34639
1359	73466	34572
1360	73513	34515
1361	73566	34460
1362	73583	34389
1363	73605	34320
1364	73650	34262
1365	73663	34189
1366	73723	34138
1367	73754	34073
1368	73799	34015
1369	73822	33947
1370	73872	33892
1371	73913	33832
1372	73935	33763
1373	73964	33698
1374	74007	33639
1375	74048	33580
1376	74094	33522
1377	74134	33462
1378	74156	33394
1379	74197	33334
1380	74231	33272
1381	74260	33207
1382	74297	33146
1383	74319	33078
1384	74355	33016
1385	74382	32951
1386	74413	32887
1387	74451	32827
1388	74469	32758
1389	74493	32691
1390	74531	32630
1391	74555	32564
1392	74574	32495
1393	74619	32438
1394	74664	32381
1395	74680	32311
1396	75032	32386
1397	75082	32331
1398	75134	32277
1399	75166	32214
1400	75219	32160
1401	75277	32108
1402	75323	32051
1403	75345	31984
1404	75368	31917
1405	75397	31853
1406	75447	31798
1407	75490	31740
1408	75518	31676
1409	75543	31610
1410	75586	31552
1411	75626	31493
1412	75652	31428
1413	75671	31360
1414	75710	31300
1415	75766	31248
1416	75790	31182
1417	75834	31125
1418	75861	31061
1419	75910	31005
1420	75936	30941
1421	75958	30875
1422	76004	30818
1423	76038	30756
1424	76080	30699
1425	76111	30636
1426	76157	30580
1427	76178	30514
1428	76198	30447
1429	76219	30381
1430	76237	30313
1431	76256	30247
1432	76295	30188
1433	76324	30125
1434	76368	30068
1435	76407	30009
1436	76424	29942
1437	76467	29884
1438	76479	29815
1439	76494	29747
1440	76533	29689
1441	76573	29631
1442	76608	29571
1443	76621	29502
1444	76656	29442
1445	76691	29382
1446	76710	29316
1447	76735	29252
1448	76748	29184
1449	76766	29118
1450	76806	29060
1451	76819	28992
1452	76838	28926
1453	76882	28870
1454	76930	28815
1455	76968	28757
1456	77009	28700
1457	77054	28644
1458	77089	28585
1459	77106	28518
1460	77144	28460
1461	77190	28405
1462	77208	28339
1463	77247	28281
1464	77261	28215
1465	77298	28156
1466	77324	28094
1467	77360	28035
1468	77375	27968
1469	77414	27911
1470	77459	27856
1471	77472	27789
1472	77508	27730
1473	77548	27673
1474	77583	27614
1475	77617	27555
1476	77662	27500
1477	77681	27435
1478	77719	27377
1479	77769	27324
1480	77785	27258
1481	77807	27195
1482	77829	27132
1483	77844	27067
1484	77888	27011
1485	77928	26955
1486	77968	26898
1487	78007	26841
1488	78053	26786
1489	78071	26722
1490	78112	26666
1491	78145	26607
1492	78198	26555
1493	78216	26491
1494	78243	26429
1495	78283	26373
1496	78347	26325
1497	78366	26261
1498	78420	26209
1499	78442	26147
1500	78458	26082
1501	78492	26024
1502	78529	25967
1503	78564	25909
1504	78598	25851
1505	78625	25790
1506	78670	25736
1507	78703	25677
1508	78746	25622
1509	78791	25568
1510	78826	25510
1511	78874	25456
1512	78911	25399
1513	78955	25345
1514	78990	25287
1515	79024	25229
1516	79060	25172
1517	79097	25115
1518	79133	25058
1519	79174	25002
1520	79212	24945
1521	79228	24882
1522	79260	24824
1523	79307	24770
1524	79360	24718
1525	79410	24666
1526	79446	24609
1527	79481	24551
1528	79512	24493
1529	79548	24436
1530	79579	24378
1531	79619	24322
1532	79653	24264
1533	79694	24209
1534	79739	24155
1535	79793	24104
1536	79839	24050
1537	79871	23992
1538	79914	23938
1539	79955	23882
1540	80001	23828
1541	80039	23773
1542	80078	23717
1543	80116	23661
1544	80171	23610
1545	80210	23554
1546	80245	23497
1547	80289	23443
1548	80324	23386
1549	80368	23332
1550	80409	23277
1551	80452	23223
1552	80498	23169
1553	80545	23116
1554	80587	23061
1555	80627	23006
1556	80662	22950
1557	80697	22893
1558	80738	22838
1559	80774	22782
1560	80824	22730
1561	80864	22675
1562	80905	22620
1563	80951	22567
1564	80990	22511
1565	81033	22457
1566	81073	22402
1567	81127	22351
1568	81168	22296
1569	81204	22240
1570	81245	22186
1571	81280	22129
1572	81318	22074
1573	81356	22018
1574	81397	21964
1575	81430	21907
1576	81470	21852
1577	81504	21796
1578	81543	21741
1579	81583	21686
1580	81620	21631
1581	81655	21575
1582	81690	21519
1583	81725	21463
1584	81762	21407
1585	81804	21353
1586	81853	21301
1587	81888	21245
1588	81922	21189
1589	81963	21135
1590	82001	21080
1591	82042	21026
1592	82079	20970
1593	82119	20916
1594	82162	20862
1595	82198	20807
1596	82239	20753
1597	82277	20698
1598	82296	20638
1599	82334	20583
1600	82376	20529
1601	82408	20473
1602	82457	20421
